@relation 'Horse Colic'

@attribute surgery {no,yes}
@attribute age {adult,young}
@attribute hospital_number numeric
@attribute rectal_temp numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_of_extremities {cool,normal,cold,warm}
@attribute peripheral_pulse {reduced,normal,absent,increased}
@attribute mucous_membrane {pale_cyanotic,pale_pink,dark_cyanotic,normal_pink,bright_red,bright_pink}
@attribute capillary_refill_time {more_3_sec,less_3_sec,3}
@attribute pain {extreme_pain,mild_pain,depressed,severe_pain,alert}
@attribute peristalsis {absent,hypomotile,hypermotile,normal}
@attribute abdominal_distention {severe,slight,none,moderate}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {more_1_liter,none,less_1_liter}
@attribute nasogastric_reflux_ph numeric
@attribute rectal_exam_feces {decreased,absent,normal,increased}
@attribute abdomen {distend_large,other,normal,firm,distend_small}
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdomo_appearance {cloudy,serosanguinous,clear}
@attribute abdomo_protein numeric
@attribute outcome {died,euthanized,lived}
@attribute surgical_lesion {no,yes}
@attribute lesion_1 {0,300,400,1111,1124,1400,2111,2112,2113,2124,2205,2206,2207,2208,2209,2300,2305,2322,3025,3111,3112,3113,3115,3124,3133,3205,3207,3209,3300,3400,4111,4122,4124,4205,4206,4207,4300,5000,5110,5111,5124,5205,5206,5400,6111,6112,6209,7111,7113,7209,7400,8300,8400,8405,9000,9400,11124,11300,11400,12208,21110,31110,41110}
@attribute lesion_2 {0,1400,2208,3111,3112,3205,6112,7111}
@attribute lesion_3 {0,2209}
@attribute cp_data {no,yes}

@data
no,adult,527702,37.2,72,24,cool,increased,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,significant,none,?,absent,distend_small,44,?,serosanguinous,3.3,euthanized,yes,2208,0,0,yes
yes,adult,529386,37.5,72,30,cold,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,slight,none,?,decreased,distend_large,60,6.8,?,?,died,yes,3205,0,0,no
yes,adult,530612,36.5,100,24,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,?,absent,distend_small,50,6,serosanguinous,3.4,lived,yes,2208,0,0,yes
yes,adult,534618,37.2,40,20,?,?,?,?,?,?,?,?,?,?,absent,normal,36,62,clear,1,euthanized,no,6112,0,0,no
no,adult,528626,38.5,54,20,?,normal,bright_pink,more_3_sec,mild_pain,absent,none,slight,more_1_liter,5.9,?,other,42,6.3,?,?,lived,no,3111,0,0,yes
no,adult,527950,37.6,48,36,?,?,normal_pink,less_3_sec,?,hypomotile,?,?,?,?,?,?,44,6.3,clear,5,lived,no,3111,0,0,yes
yes,adult,535263,37.7,44,28,?,absent,pale_pink,more_3_sec,extreme_pain,absent,severe,none,none,?,decreased,distend_large,45,70,serosanguinous,2,lived,yes,3205,0,0,no
yes,adult,534523,37,56,24,cool,normal,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,none,none,?,?,?,35,61,serosanguinous,2,euthanized,no,2205,2208,0,no
no,adult,528926,38,42,12,cool,?,pale_pink,less_3_sec,alert,?,none,?,?,?,?,other,37,5.8,?,?,lived,no,3111,0,0,no
yes,adult,534922,?,60,40,cool,?,normal_pink,less_3_sec,?,absent,?,significant,more_1_liter,?,?,distend_large,42,72,?,?,lived,yes,3111,0,0,no
no,adult,527642,38.4,80,60,cool,increased,bright_pink,less_3_sec,mild_pain,normal,none,slight,more_1_liter,?,normal,normal,54,6.9,?,?,lived,no,0,0,0,no
no,adult,5279821,37.8,48,12,warm,normal,bright_pink,less_3_sec,mild_pain,?,none,slight,?,?,increased,?,48,7.3,clear,?,lived,no,0,0,0,yes
?,adult,534790,38,65,40,?,normal,pale_cyanotic,more_3_sec,depressed,?,?,?,?,?,?,distend_large,?,?,?,?,?,yes,3111,3205,0,no
no,adult,5275211,37.9,45,36,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,none,slight,none,?,decreased,?,33,5.7,serosanguinous,?,lived,yes,2205,0,0,yes
no,adult,5278332,39,84,12,cool,normal,bright_red,less_3_sec,depressed,absent,slight,none,more_1_liter,7,?,distend_small,62,5.9,cloudy,2.2,died,yes,2208,0,0,yes
no,adult,528959,38.2,60,24,cool,normal,pale_pink,more_3_sec,mild_pain,hypomotile,slight,significant,less_1_liter,?,absent,distend_small,53,7.5,cloudy,1.4,lived,no,1124,0,0,yes
yes,adult,534921,?,140,?,?,?,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,?,?,distend_large,30,69,?,?,died,no,6112,0,0,no
yes,adult,528999,37.9,120,60,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,severe,slight,more_1_liter,7.5,absent,distend_large,52,6.6,serosanguinous,1.8,died,yes,3205,0,0,yes
no,adult,528067,38,72,36,normal,normal,pale_pink,less_3_sec,mild_pain,?,slight,slight,none,?,decreased,distend_large,38,6.8,cloudy,2,lived,no,3124,0,0,yes
no,young,5291329,38,92,28,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,significant,?,7.2,?,?,37,6.1,clear,1.1,lived,no,0,0,0,yes
yes,adult,529478,38.3,66,30,warm,reduced,normal_pink,less_3_sec,depressed,absent,moderate,significant,more_1_liter,8.5,absent,distend_large,37,6,?,?,lived,yes,5111,0,0,no
no,adult,529991,37.5,48,24,cool,normal,normal_pink,less_3_sec,depressed,hypermotile,?,none,none,?,decreased,other,43,6,clear,2.8,lived,no,7111,0,0,yes
yes,adult,530033,37.5,88,20,warm,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,?,?,?,?,?,35,6.4,clear,?,died,yes,2205,0,0,no
no,young,5299049,?,150,60,cold,absent,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,?,?,?,?,?,?,?,?,?,died,yes,1400,0,0,no
yes,adult,534497,39.7,100,30,?,?,dark_cyanotic,more_3_sec,severe_pain,absent,moderate,none,?,?,absent,distend_large,65,75,?,?,euthanized,yes,3205,0,0,no
yes,adult,528369,38.3,80,?,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,none,?,absent,distend_small,45,7.5,cloudy,4.6,lived,yes,3209,0,0,yes
no,adult,530107,37.5,40,32,cool,normal,pale_pink,less_3_sec,mild_pain,normal,moderate,slight,none,?,?,distend_large,32,6.4,clear,1.1,lived,yes,3124,0,0,yes
yes,adult,530239,38.4,84,30,cool,normal,bright_red,more_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,6.5,absent,distend_small,47,7.5,serosanguinous,?,died,yes,6111,0,0,no
yes,adult,530505,38.1,84,44,cold,?,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,none,none,less_1_liter,5,?,distend_small,60,6.8,?,5.7,died,yes,2209,0,0,yes
no,adult,529567,38.7,52,?,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,?,?,?,normal,firm,4,74,?,?,lived,no,0,0,0,no
no,adult,529597,38.1,44,40,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,?,?,?,normal,firm,35,6.8,?,?,lived,no,0,0,0,no
no,adult,534429,38.4,52,20,warm,normal,pale_pink,less_3_sec,alert,hypomotile,slight,slight,none,?,decreased,distend_large,41,63,clear,1,lived,no,0,0,0,no
yes,adult,529629,38.2,60,?,normal,?,pale_pink,less_3_sec,depressed,hypermotile,none,none,none,?,absent,distend_small,43,6.2,cloudy,3.9,lived,yes,2206,0,0,yes
no,adult,528382,37.7,40,18,normal,normal,normal_pink,?,mild_pain,normal,none,none,none,?,decreased,firm,36,3.5,?,?,lived,no,400,0,0,no
yes,adult,534898,39.1,60,10,?,normal,normal_pink,?,depressed,hypomotile,?,?,?,?,absent,distend_small,?,?,?,?,lived,yes,2113,0,0,no
no,adult,529615,37.8,48,16,normal,normal,normal_pink,less_3_sec,?,hypermotile,none,slight,none,?,absent,firm,43,7.5,?,?,lived,no,0,0,0,no
yes,adult,526090,39,120,?,cold,reduced,bright_red,more_3_sec,depressed,absent,moderate,slight,less_1_liter,8,?,?,65,8.2,serosanguinous,4.6,lived,no,5110,0,0,no
yes,adult,529765,38.2,76,?,warm,reduced,bright_pink,less_3_sec,extreme_pain,hypomotile,moderate,none,more_1_liter,6,normal,distend_large,35,6.5,cloudy,0.9,lived,yes,3205,0,0,yes
no,adult,528310,38.3,88,?,?,?,dark_cyanotic,?,?,?,?,?,?,?,?,?,?,?,?,?,died,no,2300,0,0,no
yes,adult,529925,38,80,30,cool,reduced,pale_pink,less_3_sec,?,?,?,?,?,6,?,?,48,8.3,?,4.3,lived,yes,2111,0,0,no
yes,adult,527807,?,?,?,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,none,less_1_liter,6,absent,distend_small,?,?,cloudy,?,died,yes,2113,0,0,yes
yes,adult,5281441,37.6,40,?,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,?,?,?,normal,normal,?,?,cloudy,2.1,lived,yes,31110,0,0,yes
no,adult,530695,37.5,44,?,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,?,?,?,?,?,45,5.8,cloudy,1.4,lived,no,3111,0,0,yes
no,adult,533889,38.2,42,16,normal,normal,pale_pink,less_3_sec,alert,hypomotile,none,?,?,?,normal,?,35,60,clear,1,lived,no,0,0,0,no
no,adult,533815,38,56,44,cool,reduced,pale_pink,?,?,hypermotile,none,slight,none,?,absent,?,47,70,cloudy,1,lived,no,0,0,0,no
no,adult,527664,38.3,45,20,cool,reduced,bright_pink,more_3_sec,depressed,absent,none,slight,?,?,absent,?,?,?,?,?,lived,no,0,0,0,no
yes,adult,5262542,?,48,96,normal,normal,pale_pink,less_3_sec,?,absent,none,slight,none,?,normal,distend_small,42,8,clear,?,lived,yes,2208,0,0,no
yes,adult,528268,37.7,55,28,warm,normal,bright_pink,less_3_sec,depressed,hypomotile,moderate,?,less_1_liter,5,absent,distend_large,?,?,?,?,lived,yes,3209,0,0,no
no,adult,528919,36,100,20,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,none,none,?,absent,distend_large,74,5.7,cloudy,2.5,euthanized,yes,3205,0,0,yes
yes,adult,527494,37.1,60,20,warm,?,pale_cyanotic,less_3_sec,mild_pain,?,moderate,?,more_1_liter,5,decreased,distend_small,64,8.5,cloudy,?,lived,yes,7111,0,0,yes
no,adult,529980,37.1,114,40,cool,?,pale_pink,more_3_sec,depressed,normal,none,?,?,?,?,firm,32,?,serosanguinous,6.5,lived,no,400,0,0,no
yes,adult,533954,38.1,72,30,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,slight,none,?,decreased,distend_large,37,56,serosanguinous,1,lived,yes,4206,0,0,no
yes,adult,5281092,37,44,12,cool,normal,normal_pink,more_3_sec,alert,hypermotile,none,?,?,?,absent,other,40,6.7,serosanguinous,8,lived,yes,2208,0,0,no
yes,adult,534686,38.6,48,20,cool,normal,normal_pink,less_3_sec,severe_pain,hypomotile,none,?,?,?,decreased,?,37,75,?,?,lived,yes,3111,0,0,no
yes,adult,534475,?,82,72,cool,normal,pale_cyanotic,less_3_sec,depressed,hypomotile,moderate,?,less_1_liter,?,absent,distend_small,53,65,serosanguinous,2,euthanized,yes,2209,3205,0,no
yes,young,5274919,38.2,78,60,cold,absent,dark_cyanotic,?,mild_pain,hypomotile,moderate,?,?,?,normal,?,59,5.8,serosanguinous,3.1,died,yes,1400,0,0,yes
no,adult,533815,37.8,60,16,normal,normal,pale_pink,less_3_sec,depressed,hypomotile,slight,none,more_1_liter,?,decreased,?,41,73,?,?,euthanized,no,4124,0,0,no
yes,adult,534156,38.7,34,30,warm,?,pale_pink,less_3_sec,depressed,hypomotile,?,?,?,?,?,?,33,69,?,2,euthanized,yes,7113,0,0,no
yes,adult,514279,?,36,12,normal,normal,normal_pink,less_3_sec,alert,normal,none,none,none,?,normal,distend_large,44,?,?,?,lived,yes,31110,0,0,yes
no,adult,528433,38.3,44,60,?,?,normal_pink,less_3_sec,?,?,?,?,?,?,?,?,6.4,36,?,?,lived,yes,0,0,0,no
no,adult,527465,37.4,54,18,cool,?,normal_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,?,absent,distend_large,30,7.1,cloudy,?,lived,yes,7111,0,0,yes
yes,adult,534268,?,?,?,cold,reduced,?,more_3_sec,depressed,absent,none,?,?,?,?,?,54,76,serosanguinous,2,lived,yes,8405,0,0,no
yes,adult,535337,36.6,48,16,cool,normal,pale_pink,less_3_sec,severe_pain,hypermotile,none,none,none,?,?,?,27,56,?,?,euthanized,yes,4206,0,0,no
yes,adult,534111,38.5,90,?,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,2,absent,distend_large,47,79,?,?,lived,yes,6112,0,0,no
yes,adult,530576,?,75,12,normal,normal,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,moderate,?,less_1_liter,5.8,?,?,58,8.5,clear,?,lived,yes,2209,0,0,yes
no,adult,529930,38.2,42,?,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,none,?,decreased,other,35,5.9,cloudy,?,lived,no,3113,0,0,no
yes,young,5274919,38.2,78,60,cold,absent,dark_cyanotic,?,mild_pain,hypomotile,moderate,?,?,?,normal,?,59,5.8,serosanguinous,3.1,died,yes,2205,0,0,yes
no,adult,529695,38.6,60,30,normal,normal,pale_pink,less_3_sec,severe_pain,normal,slight,none,none,?,?,?,40,6,clear,?,lived,yes,3205,0,0,no
no,adult,528452,37.8,42,40,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,?,?,?,decreased,firm,36,6.2,?,?,lived,no,4124,0,0,no
yes,adult,534783,38,60,12,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,none,none,none,?,normal,distend_small,44,65,serosanguinous,2,euthanized,yes,2209,0,0,no
no,adult,528926,38,42,12,cool,?,pale_pink,less_3_sec,alert,hypermotile,none,?,?,?,?,normal,37,5.8,?,?,lived,no,3111,0,0,no
no,adult,530670,37.6,88,36,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,1.5,?,?,44,6,?,?,died,yes,2112,0,0,no
